StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,1_interesting_1,2_interesting_2,3_interesting_3,4_interesting_4,5_interesting_5,6_interesting_6,7_interesting_7,8_interesting_8,9_interesting_9,10_interesting_10,11_interesting_11,12_interesting_12,13_interesting_13,14_interesting_14,15_interesting_15,16_interesting_16,17_interesting_17,18_interesting_18,19_interesting_19,20_interesting_20,21_interesting_21,22_interesting_22,23_interesting_23,24_interesting_24,25_interesting_25,26_interesting_26,27_interesting_27,28_interesting_28,29_interesting_29,30_interesting_30,31_interesting_31,32_interesting_32,33_interesting_33,34_interesting_34,35_interesting_35,36_interesting_36,37_interesting_37,38_interesting_38,39_interesting_39,40_interesting_40,Age,Gender,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,screener1_nicks,Income,Party,Party_6_TEXT,screener2_1,screener2_2,screener2_3,screener2_4,screener2_5,screener2_6,Social_Conserv,Economic_Conserv,god,Q215,Q216,Q217,screener3_1,screener3_2,screener3_3,screener3_4,screener3_5,screener3_6,screener3_7,screener3_8,screener3_9,screener3_9_TEXT,1_belief1_1,1_belief2_1,2_belief1_2,2_belief2_2,3_belief1_3,3_belief2_3,4_belief1_4,4_belief2_4,5_belief1_5,5_belief2_5,6_belief1_6,6_belief2_6,7_belief1_7,7_belief2_7,8_belief1_8,8_belief2_8,9_belief1_9,9_belief2_9,10_belief1_10,10_belief2_10,11_belief1_11,11_belief2_11,12_belief1_12,12_belief2_12,13_belief1_13,13_belief2_13,14_belief1_14,14_belief2_14,15_belief1_15,15_belief2_15,16_belief1_16,16_belief2_16,17_belief1_17,17_belief2_17,18_belief1_18,18_belief2_18,19_belief1_19,19_belief2_19,20_belief1_20,20_belief2_20,21_belief1_21,21_belief2_21,22_belief1_22,22_belief2_22,23_belief1_23,23_belief2_23,24_belief1_24,24_belief2_24,25_belief1_25,25_belief2_25,26_belief1_26,26_belief2_26,27_belief1_27,27_belief2_27,28_belief1_28,28_belief2_28,29_belief1_29,29_belief2_29,30_belief1_30,30_belief2_30,31_belief1_31,31_belief2_31,32_belief1_32,32_belief2_32,33_belief1_33,33_belief2_33,34_belief1_34,34_belief2_34,35_belief1_35,35_belief2_35,36_belief1_36,36_belief2_36,37_belief1_37,37_belief2_37,38_belief1_38,38_belief2_38,39_belief1_39,39_belief2_39,40_belief1_40,40_belief2_40,Random,Google,Comments,Length,mTurkCode,participantId,assignmentId,projectId,loopOrder,condition,FL_71_DO_FL_72,FL_71_DO_FL_73
12/23/2023 15:39,12/23/2023 15:53,0,75.10.0.211,100,833,1,12/23/2023 15:53,R_510MshF7hbJJugr,,,,,38.2901,-122.2828,anonymous,EN,FB56F4AE0AA14F5DB72EDB03B9868115,0,,,0,0,0,,,0,,3,0,0,,3,0,0,0,,0,3,0,,0,,0,0,,,,,,0,,3,,,,,,22,2,1,,,,,,,3,5,3,1,,,,1,,1,,2,2,8,,1,iIlegal immigration. Many immigrants are also crossing the border to get away from the crime and violence in their home country. Many believe that most of them are criminals.,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,1,2,2,N/A,10,,FB56F4AE0AA14F5DB72EDB03B9868115,a805139b-81e2-45b0-a836-b0d1cfd77cbb,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:54,12/23/2023 16:00,0,70.172.12.239,100,358,1,12/23/2023 16:00,R_5MR0aMNRFC2kbNJ,,,,,33.2505,-111.8581,anonymous,EN,67BF8445DB4F4A898EB3F79CD29E0AC6,,0,3,,,0,,3,0,,,,,0,3,,,,,,3,0,,0,,0,0,,3,3,3,3,3,,,0,0,,3,,43,2,1,,,,,,,5,5,6,2,,,,1,,1,,5,5,8,1,,About what happened during 9/11 or the war in Iraq!,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,,1,,1,,0,,0,,0,,1,,1,,1,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,2,Happy holidays!,10,,67BF8445DB4F4A898EB3F79CD29E0AC6,ad8b1bb0-7899-4685-9e59-3a6680ea3126,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:56,12/23/2023 16:01,0,69.140.203.68,100,291,1,12/23/2023 16:01,R_69xe4uMPG7ykChH,,,,,39.3178,-76.5717,anonymous,EN,9E996302D5244260878FDB74CBB316F4,3,0,,,0,,0,3,0,0,,,,3,0,,3,0,,,0,3,,0,0,0,0,,,,,,,0,0,,,,,0,29,1,1,,,,,,,2,5,2,1,,,,1,,1,,3,3,4,,1,The war between Hamas and Israel.,,,,1,,,1,,,,0,,0,,1,,1,,0,,1,,1,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,1,,0,,1,,1,,2,2,underpaid,?,,9E996302D5244260878FDB74CBB316F4,cbe1c8aa-53ca-47b4-b31f-8528cd4ed223,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:54,12/23/2023 16:02,0,68.38.142.53,100,472,1,12/23/2023 16:02,R_5B2PHklPgYugbqx,,,,,39.1215,-86.5784,anonymous,EN,6BC32F1FA1A54DF6BD812888AB6D2B42,0,3,,3,,,0,0,0,3,0,,0,,,,0,0,,0,,0,0,,0,,0,0,,3,0,,,,3,,,,,,49,2,1,,,,,,,2,5,3,3,,,,1,,1,,3,3,1,,,,,,,1,,,1,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,0,,0,,0,,1,,0,,0,,1,,1,,1,,1,,1,,0,,1,,1,,2,2,NA,10,,6BC32F1FA1A54DF6BD812888AB6D2B42,74d1b7df-45b3-410c-8a58-5448d0125f52,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:54,12/23/2023 16:03,0,71.215.36.19,100,502,1,12/23/2023 16:03,R_5U4PHgRp13uz6J5,,,,,26.9702,-81.9558,anonymous,EN,838105A5B5034120951E1A5F0AECEE4E,,0,0,,0,,0,0,0,,,3,3,,3,,,0,0,,,0,,,3,,,,0,,0,3,3,,0,,,3,3,,28,1,1,,,,,,,3,5,6,3,,,,1,,1,,5,3,6,,,The Holocaust for sure.,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,0,,0,,0,,0,,1,,0,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,2,2,thanks,12,,838105A5B5034120951E1A5F0AECEE4E,7834d0a6-150a-4a8f-a068-f205a9e82f05,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:55,12/23/2023 16:03,0,38.78.216.142,100,490,1,12/23/2023 16:03,R_34isx7mzk1U3bU2,,,,,41.7028,-112.1777,anonymous,EN,80BF77645377496F908DAE1F25840FC8,,,,0,0,,0,,,,,0,,0,,,0,0,0,0,3,,,,,,,0,,3,0,0,0,,3,3,0,0,3,,57,1,1,,,,,,,5,5,8,1,,,,1,,1,,1,2,1,,2,The Kennedy Assassination.,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,1,,1,,1,,2,2,,7,,80BF77645377496F908DAE1F25840FC8,8496f934-8b85-43fd-8406-0599ff0c6974,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:55,12/23/2023 16:03,0,68.55.120.195,100,507,1,12/23/2023 16:03,R_7XoGxYuJz7SXDCw,,,,,42.6013,-83.178,anonymous,EN,E3099AC5337543DCB33ED306B5291004,3,,,,,,0,,0,,,,0,0,0,0,,,0,0,0,3,3,,3,,0,,3,,3,3,,0,3,,3,,,,57,2,1,,,,,,,5,5,4,3,,,,1,,1,,2,3,1,,,A war / armed conflict.,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,2,2,No,10? Not sure,,E3099AC5337543DCB33ED306B5291004,3afaa9fb-b3a0-41a9-8e4a-774990e0558d,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:55,12/23/2023 16:06,0,75.97.114.19,100,619,1,12/23/2023 16:06,R_71sKTeV3gb1CxMw,,,,,40.2659,-75.7346,anonymous,EN,2D796EA5F153478DA6A34507C8BD6359,0,0,,0,0,,0,0,,,0,,0,0,0,0,,,,,,,,3,,3,3,3,,,,0,0,,3,0,,0,,,46,1,1,,,,,,,3,5,7,1,,,,1,,1,,1,1,1,,2,I think a lot of the fairly recent reports from the US military about UAVs might have more behind it it than the story suggests. ,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0,,0,,0,,1,,0,,1,,1,,0,,0,,2,2,N/A,8,,2D796EA5F153478DA6A34507C8BD6359,b4e6e8b1-8fbd-49ad-a440-e79daca218ba,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:54,12/23/2023 16:08,0,73.174.218.67,100,828,1,12/23/2023 16:08,R_5mCNLuBsitEfgXb,,,,,40.3469,-79.8689,anonymous,EN,4A2B176F53F54FCB9F08B60B74337249,,,0,,0,0,0,0,,,,0,,0,,0,,,,,3,0,,,,0,0,0,3,3,0,,0,,0,0,,,0,,48,1,1,,,,,,,4,5,10,1,,,,1,,1,,1,1,1,,2,The current conflict between Israel and Gaza is most likely not happening the way most people think because it has been difficult to get information out to the world due to lack of power and internet.,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,0,,0,,0,,1,,1,,0,,0,,0,,0,,1,,0,,0,,1,,1,,0,,2,2,n/a,13,,4A2B176F53F54FCB9F08B60B74337249,7aadd3a3-1fda-47c2-b0c8-5d202c98af84,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:54,12/23/2023 16:12,0,67.149.145.170,100,1073,1,12/23/2023 16:12,R_72BzcYxRTcnd3Ql,,,,,42.6002,-83.0033,anonymous,EN,E54A61DBE6FF476197309CE8FE625AB5,,,0,,,,,0,0,0,0,0,,0,,0,0,0,,,0,0,0,0,,,,,0,,0,,,0,,0,0,,,0,29,2,1,,,,,,,4,5,4,1,,,,1,,1,,1,2,5,,1,Its the difference in politics that creates all of these differences.,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,2,no,10,,E54A61DBE6FF476197309CE8FE625AB5,0403a100-5d6f-424b-9393-898584d49169,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/26/2023 10:23,12/26/2023 10:28,0,67.166.202.207,100,263,1,12/26/2023 10:28,R_1Be2LTALgZPv75n,,,,,34.2503,-85.1443,anonymous,EN,FE7A16F2F9974FBA980A7CA2C522F913,,0,0,,0,,,,,0,0,0,,,0,,0,,0,3,,0,,,,,0,,0,0,,0,,0,0,0,,,0,0,45,1,1,,,,,,,4,5,2,2,,,,1,,1,,3,3,8,2,,"i'm not really sure, sorry",,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,2,,15,,FE7A16F2F9974FBA980A7CA2C522F913,e04703ea-a1c1-411d-9ce6-5a9776b9c554,27a0ecb4-5d20-4ecc-9f1e-d8052b24e758,,1,1,
12/26/2023 10:23,12/26/2023 10:28,0,45.51.108.80,100,287,1,12/26/2023 10:28,R_69rECQPFGEjVRGp,,,,,34.3046,-118.6844,anonymous,EN,F9E998D1F7FD4763BA48455B0A2AF97F,3,,,3,3,3,,,3,,,3,3,3,,3,,,3,3,,0,0,3,3,0,,,,,,,,,0,,0,3,,3,26,1,,,,,,1,Latino,3,5,9,1,,,,1,,1,,1,1,3,,2,The JFK assassination ,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,2,2,,6,,F9E998D1F7FD4763BA48455B0A2AF97F,2bfb9b6d-6437-49a9-92d1-8071efc5c00b,27a0ecb4-5d20-4ecc-9f1e-d8052b24e758,,1,1,
12/26/2023 10:23,12/26/2023 10:29,0,66.213.13.57,100,355,1,12/26/2023 10:29,R_1oydNO3wEVvYNZ7,,,,,41.4722,-81.745,anonymous,EN,D096CB4486844843A76E0075E0BF551A,3,3,3,3,3,,3,,,3,3,,3,,3,,3,,,3,,,,3,3,,,3,3,,3,,3,,3,,,3,,,41,1,,1,,,,,,5,5,8,1,,,,1,,1,,2,2,4,,2,I would say how they found cocaine in the white house and did not explaned how it got there or whose it was ,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,2,Just thanks and it was fun,5,,D096CB4486844843A76E0075E0BF551A,d04b151b-fa3c-4981-a1b5-d4548be39f6c,27a0ecb4-5d20-4ecc-9f1e-d8052b24e758,,1,1,
12/26/2023 10:23,12/26/2023 10:30,0,71.30.51.23,100,400,1,12/26/2023 10:30,R_6r3SmVFkRVlYJWN,,,,,30.8794,-84.2056,anonymous,EN,7082941045684918AECC8972208CF2B7,0,,,,0,,0,0,0,,,0,,,,0,,0,0,,,,,,,,3,0,,3,,3,0,0,,0,0,0,0,3,59,2,1,,,,,,,2,5,1,2,,,,1,,1,,2,4,8,2,,Abortion,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,0,,0,,0,,1,,1,,0,,0,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,2,2,,7,,7082941045684918AECC8972208CF2B7,6b3591f1-b991-4a96-8b5c-69eba7d5b7fc,27a0ecb4-5d20-4ecc-9f1e-d8052b24e758,,1,1,
