StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,Gender,screener1_nicks,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,1_interesting_1,2_interesting_2,3_interesting_3,4_interesting_4,5_interesting_5,6_interesting_6,7_interesting_7,8_interesting_8,9_interesting_9,10_interesting_10,11_interesting_11,12_interesting_12,13_interesting_13,14_interesting_14,15_interesting_15,16_interesting_16,17_interesting_17,18_interesting_18,19_interesting_19,20_interesting_20,21_interesting_21,22_interesting_22,23_interesting_23,24_interesting_24,25_interesting_25,26_interesting_26,27_interesting_27,28_interesting_28,29_interesting_29,30_interesting_30,31_interesting_31,32_interesting_32,33_interesting_33,34_interesting_34,35_interesting_35,36_interesting_36,37_interesting_37,38_interesting_38,39_interesting_39,40_interesting_40,education,Income,Party,Party_6_TEXT,screener2_1,screener2_2,screener2_3,screener2_4,screener2_5,screener2_6,Social_Conserv,Economic_Conserv,god,Q215,Q216,Q219,Q218,screener3_1,screener3_2,screener3_3,screener3_4,screener3_5,screener3_6,screener3_7,screener3_8,screener3_9,screener3_9_TEXT,1_belief1_1,1_belief2_1,2_belief1_2,2_belief2_2,3_belief1_3,3_belief2_3,4_belief1_4,4_belief2_4,5_belief1_5,5_belief2_5,6_belief1_6,6_belief2_6,7_belief1_7,7_belief2_7,8_belief1_8,8_belief2_8,9_belief1_9,9_belief2_9,10_belief1_10,10_belief2_10,11_belief1_11,11_belief2_11,12_belief1_12,12_belief2_12,13_belief1_13,13_belief2_13,14_belief1_14,14_belief2_14,15_belief1_15,15_belief2_15,16_belief1_16,16_belief2_16,17_belief1_17,17_belief2_17,18_belief1_18,18_belief2_18,19_belief1_19,19_belief2_19,20_belief1_20,20_belief2_20,21_belief1_21,21_belief2_21,22_belief1_22,22_belief2_22,23_belief1_23,23_belief2_23,24_belief1_24,24_belief2_24,25_belief1_25,25_belief2_25,26_belief1_26,26_belief2_26,27_belief1_27,27_belief2_27,28_belief1_28,28_belief2_28,29_belief1_29,29_belief2_29,30_belief1_30,30_belief2_30,31_belief1_31,31_belief2_31,32_belief1_32,32_belief2_32,33_belief1_33,33_belief2_33,34_belief1_34,34_belief2_34,35_belief1_35,35_belief2_35,36_belief1_36,36_belief2_36,37_belief1_37,37_belief2_37,38_belief1_38,38_belief2_38,39_belief1_39,39_belief2_39,40_belief1_40,40_belief2_40,Random,Google,Comments,Length,mTurkCode,participantId,assignmentId,projectId,rid,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,loopOrder,condition,FL_71_DO_FL_72,FL_71_DO_FL_73
3/18/2024 9:50,3/18/2024 9:51,0,76.159.167.155,100,32,1,3/18/2024 9:51,R_70bEqXjeD6OFk4A,,,,,32.413,-110.942,anonymous,EN,85,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f86296-af40-e0c7-3beb-73a754d39bd3,1,21,1,1,6,3,4,85737,,,,
3/18/2024 9:50,3/18/2024 9:51,0,108.196.156.14,100,49,1,3/18/2024 9:51,R_5sGRdLu7k8IAFQB,,,,,30.2462,-97.8433,anonymous,EN,67,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f862c5-d067-f70c-c39c-f15c4f6bcaa7,2,,1,13,,,3,78745,,,,
3/18/2024 9:51,3/18/2024 9:54,0,172.58.190.250,100,208,1,3/18/2024 9:54,R_1h0x6qunr67sgpf,,,,,38.9994,-77.0336,anonymous,EN,42,2,5,1,,,,,,,0,0,,,,,,0,,3,0,,0,0,,,0,0,0,0,0,0,,,0,,,,0,,0,,,0,,,,0,0,0,,1,1,,,,,1,,,3,3,4,,2,2,,,,,,1,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,No ,10,,,,,65f862e9-9f04-7415-2d4c-42d78dda4567,2,,1,1,,,3,37664,,1,1,
3/18/2024 9:50,3/18/2024 9:55,0,24.238.45.183,100,281,1,3/18/2024 9:55,R_2rjil5OlUyOzbW6,,,,,41.1849,-75.386,anonymous,EN,84,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f862c7-7abb-455e-e822-6ca1bd1d3bd0,1,4,15,1,8,2,1,18466,,,,
3/18/2024 9:55,3/18/2024 9:56,0,172.10.30.31,100,11,1,3/18/2024 9:56,R_7ZCyY536O3P76pL,,,,,36.039,-78.878,anonymous,EN,18,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f863cb-8433-704a-6252-fd3d25b78b3a,2,3,2,1,,3,3,27705,,,,
3/18/2024 9:56,3/18/2024 9:56,0,63.152.92.178,100,15,1,3/18/2024 9:56,R_3C2TefRRNqQN91K,,,,,41.9504,-91.6897,anonymous,EN,67,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f863ee-9149-16b2-6b3d-eb51db8a90e8,2,7,1,1,,1,2,52245,,,,
3/18/2024 9:58,3/18/2024 9:58,0,68.104.89.8,100,24,1,3/18/2024 9:58,R_1WSfuD5CwqIUAOy,,,,,36.2038,-115.2255,anonymous,EN,57,2,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f8644b-85c3-9a96-f1bc-322e1560cf6f,2,1,2,1,4,4,4,89108,,,,
3/18/2024 9:54,3/18/2024 9:58,0,99.71.191.23,100,227,1,3/18/2024 9:58,R_1ehryn2FPWvwpAv,,,,,42.8193,-83.2845,anonymous,EN,41,1,5,1,,,,,,,3,,3,3,,0,,3,,3,3,,,,,,3,3,3,,,,,3,3,3,3,3,3,3,,,3,0,,,,,,3,,9,3,,,,,,,1,3,3,4,,,,,1,,1,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,2,2,Nope,13,,,,,65f863a2-96d4-409c-53e5-cfbc75c5d4bd,1,14,1,1,,3,2,48348,,2,,1
3/18/2024 9:52,3/18/2024 9:59,0,68.117.190.19,100,391,1,3/18/2024 9:59,R_2j5mq5DK2Bbyhfr,,,,,34.5891,-86.9909,anonymous,EN,67,2,5,1,,,,,,,3,0,3,,,,,0,0,,3,0,3,,,,,,3,3,3,,,,,3,0,0,,,3,0,,,,3,,3,0,3,,11,2,,,,,1,,,4,4,6,2,,,2,,,,,1,,,,,,,0,,0,,1,,1,,1,,0,,1,,0,,0,,0,,1,,0,,0,,0,,1,,1,,1,,0,,1,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,2,2,some of these are really funny! lol,10,,,,,65f86333-eadf-6490-2d44-dd66e93a8ca4,2,24,1,1,6,,3,35603,,2,,1
3/18/2024 9:52,3/18/2024 9:59,0,172.56.249.139,100,400,1,3/18/2024 9:59,R_2vt5InFoUUkd2HT,,,,,39.8499,-86.2649,anonymous,EN,38,2,5,,,,1,,,,0,,,0,0,,0,0,,,0,,,,0,0,0,0,0,,,,0,,0,,,0,0,0,,,,,,0,,0,0,0,,6,1,,,,,1,,,1,3,6,,2,2,,,,,,1,,1,,,,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,2,2,Boring and stupid ,10,,,,,65f8634c-9946-5692-194d-37fad799036b,2,11,10,1,,1,3,37217,,2,,1
3/18/2024 9:50,3/18/2024 10:00,0,71.73.100.120,100,580,1,3/18/2024 10:00,R_1d7k6J8LCOTPXIV,,,,,40.9666,-81.4185,anonymous,EN,70,1,5,1,,,,,,,,0,,0,0,,3,,,0,,,,,,0,0,,,,,0,,3,3,3,0,3,,3,,,,0,0,3,3,3,0,,,4,3,,,,,,1,,4,4,8,,,,,,,,1,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,0,,1,,1,,0,,0,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,1,,0,1,2,Interesting and Unique. ,10,,,,,65f862b5-391b-e440-78a6-d665e4464750,1,7,1,1,7,2,2,44216,,2,,1
3/18/2024 9:53,3/18/2024 10:00,0,173.31.27.65,100,442,1,3/18/2024 10:00,R_5nMJjXLTbgzIRXm,,,,,41.6073,-93.5308,anonymous,EN,62,2,5,1,,,,,,,3,,0,3,3,3,,,,3,3,3,,,3,,,,,,3,,3,0,3,3,0,3,,,0,3,3,,,,3,,,,,8,3,,,,,,,1,3,4,7,,,,,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,1,2,No ,8,,,,,65f86334-b3ca-f923-4895-024dcdb807e8,2,15,1,1,10,3,2,50317,,2,,1
3/18/2024 9:52,3/18/2024 10:00,0,69.207.154.99,100,481,1,3/18/2024 10:00,R_2kdHQfxBf81Fhfb,,,,,43.2585,-77.6695,anonymous,EN,74,2,5,1,,,,,,,,,,,0,,,3,3,,0,,0,,,0,0,0,0,,,3,3,3,,3,3,,3,3,3,,,,0,,3,,,0,,2,3,,,,1,,1,,1,2,5,,,,,1,,1,,,,,,1,ABC news website,1,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,1,,1,,1,,2,2,I would like to see the results of the true/false posts.,5,,,,,65f86308-4f99-bc8c-e128-d9e7f6212e08,2,4,1,1,,3,1,14626,,1,1,
3/18/2024 9:51,3/18/2024 10:00,0,76.109.60.206,100,581,1,3/18/2024 10:00,R_3nx6uyt6Am8vDso,,,,,26.4543,-80.1337,anonymous,EN,57,2,5,1,,,,,,,,0,,,,0,,,0,0,0,0,0,0,,0,0,0,0,,,,,0,,0,,,,,,0,0,,0,0,,,0,0,,5,1,,,,,,,1,2,2,1,,1,1,,,,,,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,2,2,No all false news except for 1 possibility,10,,,,,65f862c0-60ee-e33c-0aa1-0e0eb0510f5e,2,10,1,1,8,3,3,33063,,1,1,
3/18/2024 9:52,3/18/2024 10:01,0,68.185.89.67,100,563,1,3/18/2024 10:01,R_5WYa5a5UDakoiwP,,,,,36.9102,-121.7564,anonymous,EN,64,2,5,1,,,,,,,,,0,0,0,0,0,,,,,,0,,0,,0,0,,0,,,0,,,0,0,,0,,0,,3,0,,0,,0,0,,,5,3,,,,1,,1,,3,3,7,,,,,,,,1,,,1,,,,,0,,0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0,,0,,0,,0,,1,,0,,0,,1,,0,,1,,0,,0,,0,,0,,1,,0,,1,,0,,1,,0,,1,,1,,0,,0,,1,,0,,0,,1,,1,1,2,,10,,,,,65f862e4-d25c-f512-d0cc-5aa0420c7280,2,10,1,12,7,4,4,95076,,2,,1
3/18/2024 10:01,3/18/2024 10:01,0,24.4.48.83,100,18,1,3/18/2024 10:01,R_7MJHGvc9lSr40AV,,,,,38.267,-122.044,anonymous,EN,,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f86525-c4af-aa6a-2ac1-d61a89d3b801,2,20,1,1,,,4,85224,,,,
3/18/2024 9:54,3/18/2024 10:01,0,50.53.138.187,100,437,1,3/18/2024 10:01,R_3AZ0lBGWOPvCBaG,,,,,45.4451,-122.5397,anonymous,EN,48,2,5,1,,,,,,,0,0,0,0,0,,0,0,0,,0,,0,,,0,,,0,,,0,,,,3,0,,,3,,3,3,,,3,3,,,,,9,2,,,,1,,1,,5,5,8,2,,,2,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,2,it was interesting,15,,,,,65f86397-bd5d-70e4-5c13-1f51b58150a2,2,,1,1,,,4,97015,,1,1,
3/18/2024 9:52,3/18/2024 10:02,0,35.32.89.189,100,557,1,3/18/2024 10:02,R_2aTDFHinp6K1P3z,,,,,43.6055,-84.7796,anonymous,EN,21,2,5,1,,,,,,,0,0,0,,,0,,,0,0,,,0,0,,0,0,0,,,0,,0,0,,,0,,0,0,,0,,,0,,0,,,,,12,1,,,,1,,1,,1,1,6,,2,2,,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,0,,1,,0,,1,,0,,1,,1,,1,,1,,1,,0,,1,,0,,1,,0,,1,,1,2,2,no,10,,,,,65f862ea-0a34-0625-37f0-86c498bed8fe,2,,1,1,,,2,48858,,2,,1
3/18/2024 9:53,3/18/2024 10:02,0,172.59.216.128,100,504,1,3/18/2024 10:02,R_3rVS8ebN0VjXYVb,,,,,35.1936,-80.6865,anonymous,EN,52,1,5,,,,,,1,Hispanic ,0,0,0,,0,,0,,0,,0,,,,0,,0,,0,0,,,,0,,,0,0,,0,,0,,0,0,,0,,,0,,7,6,,,,,,,1,3,3,8,,,,,,,,,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,No,5,,,,,65f86349-2006-47bf-da4f-5b0e2ffbe5bb,1,,15,13,,,3,29063,,2,,1
3/18/2024 10:02,3/18/2024 10:02,0,142.196.101.230,100,13,1,3/18/2024 10:02,R_1TzxHqI49ijR5IZ,,,,,28.7935,-81.2868,anonymous,EN,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f8656c-2b98-49b7-9463-435ffca76863,2,11,1,1,,1,3,32773,,,,
3/18/2024 9:51,3/18/2024 10:02,0,172.58.126.155,100,648,1,3/18/2024 10:02,R_20GYlxM8umZmGQQ,,,,,42.3363,-83.1348,anonymous,EN,51,2,5,1,,,,,,,0,,3,,,0,,0,0,0,,,0,0,,,,,0,,3,,,0,,0,0,0,,3,0,3,3,3,,,,0,,,,9,2,,,,1,,1,,4,4,8,2,,,2,,,,,1,,,1,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,1,No,10 min,,,,,65f862f3-1204-78b1-8d7b-16542fdbf518,2,16,1,1,4,2,2,49337,,1,1,
